Movie Name,Year,Hero,Director,Genre/Type,Rating
Krack,2021,Ravi Teja,Gopichand Malineni,Action,7.0
Vakeel Saab,2021,Pawan Kalyan,Venu Sriram,Legal Drama,7.1
Jathi Ratnalu,2021,Naveen Polishetty,Anudeep KV,Comedy,7.2
Pushpa: The Rise,2021,Allu Arjun,Sukumar,Action/Crime,7.6
Akhanda,2021,Balakrishna,Boyapati Srinu,Action/Drama,7.0
Love Story,2021,Naga Chaitanya,Sekhar Kammula,Romantic Drama,6.9
Shyam Singha Roy,2021,Nani,Rahul Sankrityan,Period Supernatural,7.7
Tuck Jagadish,2021,Nani,Shiva Nirvana,Family Drama,5.5
Paagal,2021,Vishwak Sen,Naressh Kuppili,Rom-Com,5.2
Gully Rowdy,2021,Sundeep Kishan,G. Nageswara Reddy,Action/Comedy,5.1
Bangarraju,2022,Nagarjuna/Naga Chaitanya,Kalyan Krishna,Fantasy Drama,5.5
Bheemla Nayak,2022,Pawan Kalyan/Rana,Saagar K Chandra,Action/Drama,6.8
RRR,2022,Ram Charan/Jr NTR,S.S. Rajamouli,Period Action,7.8
Sarkaru Vaari Paata,2022,Mahesh Babu,Parasuram,Action/Drama,5.9
Major,2022,Adivi Sesh,Sashi Kiran Tikka,Biographical Action,8.1
Ante Sundaraniki,2022,Nani,Vivek Athreya,Rom-Com,7.6
Sita Ramam,2022,Dulquer Salmaan,Hanu Raghavapudi,Period Romance,8.6
Karthikeya 2,2022,Nikhil Siddhartha,Chandoo Mondeti,Mystery/Adventure,7.7
HIT: The Second Case,2022,Adivi Sesh,Sailesh Kolanu,Crime Thriller,7.3
Dhamaka,2022,Ravi Teja,Trinadha Rao Nakkina,Action/Comedy,6.3
Godfather,2022,Chiranjeevi,Mohan Raja,Political Action,5.2
Yashoda,2022,Samantha,Hari-Harish,Sci-Fi Thriller,6.6
Waltair Veerayya,2023,Chiranjeevi,Bobby Kolli,Action/Comedy,6.2
Veera Simha Reddy,2023,Balakrishna,Gopichand Malineni,Action/Drama,5.1
Sir,2023,Dhanush,Venky Atluri,Social Drama,7.3
Dasara,2023,Nani,Srikanth Odela,Action/Drama,6.7
Virupaksha,2023,Sai Dharam Tej,Karthik Varma Dandu,Horror Thriller,7.2
Custody,2023,Naga Chaitanya,Venkat Prabhu,Action/Thriller,5.5
Adipurush,2023,Prabhas,Om Raut,Mythology/Action,3.1
Bro,2023,Pawan Kalyan/Sai Dharam Tej,Samuthirakani,Fantasy Drama,6.0
Jailer (Telugu),2023,Rajinikanth,Nelson,Action,7.1
Bhagavanth Kesari,2023,Balakrishna,Anil Ravipudi,Action/Drama,6.8
Hi Nanna,2023,Nani,Shouryuv,Family Drama,8.2
Salaar: Part 1,2023,Prabhas,Prashanth Neel,Action/Drama,6.5
Balagam,2023,Priyadarshi,Venu Yeldandi,Family Drama,8.1
Hanu-Man,2024,Teja Sajja,Prasanth Varma,Superhero,7.9
Guntur Kaaram,2024,Mahesh Babu,Trivikram,Action/Drama,5.4
Gaami,2024,Vishwak Sen,Vidyadhar Kagita,Adventure/Drama,6.8
Tillu Square,2024,Siddu Jonnalagadda,Mallik Ram,Crime Comedy,7.1
Kalki 2898 AD,2024,Prabhas,Nag Ashwin,Sci-Fi/Mythology,7.6
Saripodhaa Sanivaaram,2024,Nani,Vivek Athreya,Action/Thriller,7.1
Devara: Part 1,2024,Jr NTR,Koratala Siva,Action/Drama,7.1
Lucky Baskhar,2024,Dulquer Salmaan,Venky Atluri,Financial Thriller,7.8
Mechanic Rocky,2024,Vishwak Sen,Ravi Teja Mullapudi,Action/Drama,6.4
Pushpa 2: The Rule,2024,Allu Arjun,Sukumar,Action/Crime,8.5
Daaku Maharaaj,2025,Balakrishna,Bobby Kolli,Action/Drama,7.2
Game Changer,2025,Ram Charan,S. Shankar,Political Thriller,6.8
Sankranthiki Vasthunam,2025,Venkatesh,Anil Ravipudi,Action/Comedy,7.1
Thandel,2025,Naga Chaitanya,Chandoo Mondeti,Romantic Action,7.0
HIT: The Third Case,2025,Nani,Sailesh Kolanu,Crime Thriller,7.5
Mirai,2025,Teja Sajja,Karthik Ghattamaneni,Action/Adventure,7.4
Vishwambhara,2026,Chiranjeevi,Vassishta,Fantasy/Adventure,7.5
The Raja Saab,2026,Prabhas,Maruthi,Horror/Romance,6.2
Dacoit,2026,Adivi Sesh,Shaneil Deo,Action/Thriller,7.0
Hari Hara Veera Mallu,2026,Pawan Kalyan,Krish/Jyothi Krishna,Period Action,7.3
